participant_id,assignment,total_videos,total_adjusted_videos,playlist_videos,all_ai_videos,ai_adjusted_videos,share_ai_adjusted_videos,total_watch_time,total_adjusted_watch_time,playlist_watch_time,all_ai_watch_time,ai_adjusted_watch_time,share_ai_adjusted_watch_time
365043817bf7b73e6f1a44dfe30fe41a85c15e54ead9d819cb109ea8dcf3bbd7,Treatment,89,89,0,3,3,0.033707865168539325,30362.984999999997,30362.984999999997,0.0,210.079,210.079,0.006918917886367234
e3e37c441700aa177ae83cd437ac79727c3f2ca978da7035843794c57e0583f6,Treatment,5,5,0,0,0,0.0,273.768,273.768,0.0,0.0,0.0,0.0
246d0c11fed6695f6422d71fdc12f8b0b788e62fa515f15d377f7fddec202199,Treatment,90,90,0,0,0,0.0,477623.828,477623.828,0.0,0.0,0.0,0.0
f0b637f4c4f9dcfa162429273dd57b27182ae747ca17e0451c8783caf4db1fff,Control,275,275,0,0,0,0.0,82242.01000000001,82242.01000000001,0.0,0.0,0.0,0.0
2568d0442ab97d9c45fcda34cc45994511cde3521e7f9812aa95a63f013016a2,Control,138,138,0,0,0,0.0,170166.223,170166.223,0.0,0.0,0.0,0.0
756f60ca0508f48b09f5d27df0b5135419e854e0f27c517ff46ee381ac28d234,Treatment,8,8,0,0,0,0.0,1345.509,1345.509,0.0,0.0,0.0,0.0
ec8b43a0706a39e11c2dcee4657ff93f58dcb90f35fa43aea36e268b7dc257d7,Control,3,3,0,0,0,0.0,26719.0,26719.0,0.0,0.0,0.0,0.0
0fba502b7ac6ed4958a48aef4f5394ddcd83d70cebe026b53c7b2f009faeb05d,Treatment,12,12,0,1,1,0.08333333333333333,85898.45999999999,85898.45999999999,0.0,43.0,43.0,0.0005005910466846554
ed38a7a5e3695e4df68b011f62e14cd5378d8ae4b949cde16630875a53f69c3e,Treatment,87,87,0,2,2,0.022988505747126436,165580.243,165580.243,0.0,36.595,36.595,0.0002210106673173562
7b15e1526b60322d025a4d271957dab769d1d3de391079506c814ca8f3762844,Control,1142,1142,0,7,7,0.006129597197898424,178147.261,178147.261,0.0,179.56,179.56,0.0010079301752497895
